text,label
quién utilizaba la Ruta del Norte,ruta_comercial_norte
en qué época se usaba la Ruta del Norte,ruta_comercial_norte
quién es Don Esteban,ruta_comercial_norte
qué dijo Don Esteban sobre la ruta,ruta_comercial_norte
se usaba la ruta fuera de temporada,ruta_comercial_norte
los mercaderes viajaban por la Ruta del Norte en los años 40,ruta_comercial_norte
alguien recorría la ruta durante la noche,ruta_comercial_norte
la ruta seguía activa fuera de temporada,ruta_comercial_norte
había actividad nocturna en la Ruta del Norte,ruta_comercial_norte
los comerciantes usaban ese camino regularmente,ruta_comercial_norte
por qué alguien usaría la ruta de noche,ruta_comercial_norte
qué tipo de personas viajaban por esa ruta,ruta_comercial_norte
qué se transportaba en ese camino,ruta_comercial_norte
por qué se usaba fuera de temporada,ruta_comercial_norte
qué importancia tenía esa ruta para los mercaderes,ruta_comercial_norte
ruta del norte noche,ruta_comercial_norte
mercaderes años 40,ruta_comercial_norte
don esteban ruta,ruta_comercial_norte
camino fuera temporada,ruta_comercial_norte
comercio itinerante ruta,ruta_comercial_norte
quién era el profesor,profesor_lago_viedma
qué sabes de el profesor,profesor_lago_viedma
dónde se alojó el profesor,profesor_lago_viedma
cuánto tiempo permaneció allí,profesor_lago_viedma
qué ocurrió en el lago viedma,profesor_lago_viedma
alguien pidió mapas antiguos,profesor_lago_viedma
quién buscaba mapas de la patagonia,profesor_lago_viedma
hubo visitantes extraños en la hostería,profesor_lago_viedma
qué dicen los registros de la hostería,profesor_lago_viedma
quién estuvo tres semanas hospedado,profesor_lago_viedma
por qué quería mapas antiguos,profesor_lago_viedma
qué buscaba el profesor,profesor_lago_viedma
dónde consiguió información geográfica,profesor_lago_viedma
lago viedma profesor,profesor_lago_viedma
mapas antiguos patagonia,profesor_lago_viedma
visitante misterioso hostería,profesor_lago_viedma
registros de hospedaje,profesor_lago_viedma
quién investigaba la región,profesor_lago_viedma
hubo un extranjero en la zona,profesor_lago_viedma
qué pista existe sobre el profesor,profesor_lago_viedma
qué pasó en ushuaia en 1961,radio_ushuaia_beagle
quién interceptó una transmisión,radio_ushuaia_beagle
hubo mensajes en alemán,radio_ushuaia_beagle
qué decía la transmisión,radio_ushuaia_beagle
se mencionaron coordenadas,radio_ushuaia_beagle
qué isla aparecía en el mensaje,radio_ushuaia_beagle
quién escuchó la comunicación,radio_ushuaia_beagle
había actividad de radio extraña,radio_ushuaia_beagle
qué sabes de la radioaficionada,radio_ushuaia_beagle
qué ocurrió cerca del canal beagle,radio_ushuaia_beagle
alguien emitía mensajes secretos,radio_ushuaia_beagle
dónde apuntaban las coordenadas,radio_ushuaia_beagle
se registró una transmisión sospechosa,radio_ushuaia_beagle
mensaje alemán,radio_ushuaia_beagle
coordenadas isla sur,radio_ushuaia_beagle
